Number,Time,pH,Temperature,Curd grain size,Fat content,Homogenization pressure,Concentration factor,Acidulant,Curd wash
1,5,5.5,38,11,3.06,0,1,LA,0
2,10,5.5,38,11,3.06,0,1,LA,0
3,20,5.5,38,11,3.06,0,1,LA,0
4,30,5.5,38,11,3.06,0,1,LA,0
5,45,5.5,38,11,3.06,0,1,LA,0
6,60,5.5,38,11,3.06,0,1,LA,0
7,90,5.5,38,11,3.06,0,1,LA,0
8,180,5.5,38,11,3.06,0,1,LA,0
9,5,5.5,38,11,3.06,0,1,LA,0
10,10,5.5,38,11,3.06,0,1,LA,0
11,20,5.5,38,11,3.06,0,1,LA,0
12,30,5.5,38,11,3.06,0,1,LA,0
13,45,5.5,38,11,3.06,0,1,LA,0
14,60,5.5,38,11,3.06,0,1,LA,0
15,90,5.5,38,11,3.06,0,1,LA,0
16,180,5.5,38,11,3.06,0,1,LA,0
17,5,5.5,38,11,3.06,0,1,LA,0
18,10,5.5,38,11,3.06,0,1,LA,0
19,20,5.5,38,11,3.06,0,1,LA,0
20,30,5.5,38,11,3.06,0,1,LA,0
21,45,5.5,38,11,3.06,0,1,LA,0
22,60,5.5,38,11,3.06,0,1,LA,0
23,90,5.5,38,11,3.06,0,1,LA,0
24,180,5.5,38,11,3.06,0,1,LA,0
25,5,5.5,38,11,3.06,0,1,CA/LA,0
26,10,5.5,38,11,3.06,0,1,CA/LA,0
27,20,5.5,38,11,3.06,0,1,CA/LA,0
28,30,5.5,38,11,3.06,0,1,CA/LA,0
29,45,5.5,38,11,3.06,0,1,CA/LA,0
30,60,5.5,38,11,3.06,0,1,CA/LA,0
31,90,5.5,38,11,3.06,0,1,CA/LA,0
32,180,5.5,38,11,3.06,0,1,CA/LA,0
33,5,5.5,38,11,3.06,0,1,CA/LA,0
34,10,5.5,38,11,3.06,0,1,CA/LA,0
35,20,5.5,38,11,3.06,0,1,CA/LA,0
36,30,5.5,38,11,3.06,0,1,CA/LA,0
37,45,5.5,38,11,3.06,0,1,CA/LA,0
38,60,5.5,38,11,3.06,0,1,CA/LA,0
39,90,5.5,38,11,3.06,0,1,CA/LA,0
40,180,5.5,38,11,3.06,0,1,CA/LA,0
41,5,5.5,38,11,3.06,0,1,CA/LA,0
42,10,5.5,38,11,3.06,0,1,CA/LA,0
43,20,5.5,38,11,3.06,0,1,CA/LA,0
44,30,5.5,38,11,3.06,0,1,CA/LA,0
45,45,5.5,38,11,3.06,0,1,CA/LA,0
46,60,5.5,38,11,3.06,0,1,CA/LA,0
47,90,5.5,38,11,3.06,0,1,CA/LA,0
48,180,5.5,38,11,3.06,0,1,CA/LA,0
49,5,5.5,38,11,3.06,0,1,CA,0
50,10,5.5,38,11,3.06,0,1,CA,0
51,20,5.5,38,11,3.06,0,1,CA,0
52,30,5.5,38,11,3.06,0,1,CA,0
53,45,5.5,38,11,3.06,0,1,CA,0
54,60,5.5,38,11,3.06,0,1,CA,0
55,90,5.5,38,11,3.06,0,1,CA,0
56,180,5.5,38,11,3.06,0,1,CA,0
57,5,5.5,38,11,3.06,0,1,CA,0
58,10,5.5,38,11,3.06,0,1,CA,0
59,20,5.5,38,11,3.06,0,1,CA,0
60,30,5.5,38,11,3.06,0,1,CA,0
61,45,5.5,38,11,3.06,0,1,CA,0
62,60,5.5,38,11,3.06,0,1,CA,0
63,90,5.5,38,11,3.06,0,1,CA,0
64,180,5.5,38,11,3.06,0,1,CA,0
65,5,5.5,38,11,3.06,0,1,CA,0
66,10,5.5,38,11,3.06,0,1,CA,0
67,20,5.5,38,11,3.06,0,1,CA,0
68,30,5.5,38,11,3.06,0,1,CA,0
69,45,5.5,38,11,3.06,0,1,CA,0
70,60,5.5,38,11,3.06,0,1,CA,0
71,90,5.5,38,11,3.06,0,1,CA,0
72,180,5.5,38,11,3.06,0,1,CA,0
73,5,5.7,38,11,3.06,0,1,LA,0
74,10,5.7,38,11,3.06,0,1,LA,0
75,20,5.7,38,11,3.06,0,1,LA,0
76,30,5.7,38,11,3.06,0,1,LA,0
77,45,5.7,38,11,3.06,0,1,LA,0
78,60,5.7,38,11,3.06,0,1,LA,0
79,90,5.7,38,11,3.06,0,1,LA,0
80,180,5.7,38,11,3.06,0,1,LA,0
81,5,5.7,38,11,3.06,0,1,LA,0
82,10,5.7,38,11,3.06,0,1,LA,0
83,20,5.7,38,11,3.06,0,1,LA,0
84,30,5.7,38,11,3.06,0,1,LA,0
85,45,5.7,38,11,3.06,0,1,LA,0
86,60,5.7,38,11,3.06,0,1,LA,0
87,90,5.7,38,11,3.06,0,1,LA,0
88,180,5.7,38,11,3.06,0,1,LA,0
89,5,5.7,38,11,3.06,0,1,LA,0
90,10,5.7,38,11,3.06,0,1,LA,0
91,20,5.7,38,11,3.06,0,1,LA,0
92,30,5.7,38,11,3.06,0,1,LA,0
93,45,5.7,38,11,3.06,0,1,LA,0
94,60,5.7,38,11,3.06,0,1,LA,0
95,90,5.7,38,11,3.06,0,1,LA,0
96,180,5.7,38,11,3.06,0,1,LA,0
97,5,5.7,38,11,3.06,0,1,CA/LA,0
98,10,5.7,38,11,3.06,0,1,CA/LA,0
99,20,5.7,38,11,3.06,0,1,CA/LA,0
100,30,5.7,38,11,3.06,0,1,CA/LA,0
101,45,5.7,38,11,3.06,0,1,CA/LA,0
102,60,5.7,38,11,3.06,0,1,CA/LA,0
103,90,5.7,38,11,3.06,0,1,CA/LA,0
104,180,5.7,38,11,3.06,0,1,CA/LA,0
105,5,5.7,38,11,3.06,0,1,CA/LA,0
106,10,5.7,38,11,3.06,0,1,CA/LA,0
107,20,5.7,38,11,3.06,0,1,CA/LA,0
108,30,5.7,38,11,3.06,0,1,CA/LA,0
109,45,5.7,38,11,3.06,0,1,CA/LA,0
110,60,5.7,38,11,3.06,0,1,CA/LA,0
111,90,5.7,38,11,3.06,0,1,CA/LA,0
112,180,5.7,38,11,3.06,0,1,CA/LA,0
113,5,5.7,38,11,3.06,0,1,CA/LA,0
114,10,5.7,38,11,3.06,0,1,CA/LA,0
115,20,5.7,38,11,3.06,0,1,CA/LA,0
116,30,5.7,38,11,3.06,0,1,CA/LA,0
117,45,5.7,38,11,3.06,0,1,CA/LA,0
118,60,5.7,38,11,3.06,0,1,CA/LA,0
119,90,5.7,38,11,3.06,0,1,CA/LA,0
120,180,5.7,38,11,3.06,0,1,CA/LA,0
121,5,5.7,38,11,3.06,0,1,CA,0
122,10,5.7,38,11,3.06,0,1,CA,0
123,20,5.7,38,11,3.06,0,1,CA,0
124,30,5.7,38,11,3.06,0,1,CA,0
125,45,5.7,38,11,3.06,0,1,CA,0
126,60,5.7,38,11,3.06,0,1,CA,0
127,90,5.7,38,11,3.06,0,1,CA,0
128,180,5.7,38,11,3.06,0,1,CA,0
129,5,5.7,38,11,3.06,0,1,CA,0
130,10,5.7,38,11,3.06,0,1,CA,0
131,20,5.7,38,11,3.06,0,1,CA,0
132,30,5.7,38,11,3.06,0,1,CA,0
133,45,5.7,38,11,3.06,0,1,CA,0
134,60,5.7,38,11,3.06,0,1,CA,0
135,90,5.7,38,11,3.06,0,1,CA,0
136,180,5.7,38,11,3.06,0,1,CA,0
137,5,5.7,38,11,3.06,0,1,CA,0
138,10,5.7,38,11,3.06,0,1,CA,0
139,20,5.7,38,11,3.06,0,1,CA,0
140,30,5.7,38,11,3.06,0,1,CA,0
141,45,5.7,38,11,3.06,0,1,CA,0
142,60,5.7,38,11,3.06,0,1,CA,0
143,90,5.7,38,11,3.06,0,1,CA,0
144,180,5.7,38,11,3.06,0,1,CA,0
145,5,6.3,38,11,3.06,0,1,LA,0
146,10,6.3,38,11,3.06,0,1,LA,0
147,20,6.3,38,11,3.06,0,1,LA,0
148,30,6.3,38,11,3.06,0,1,LA,0
149,45,6.3,38,11,3.06,0,1,LA,0
150,60,6.3,38,11,3.06,0,1,LA,0
151,90,6.3,38,11,3.06,0,1,LA,0
152,180,6.3,38,11,3.06,0,1,LA,0
153,5,6.3,38,11,3.06,0,1,LA,0
154,10,6.3,38,11,3.06,0,1,LA,0
155,20,6.3,38,11,3.06,0,1,LA,0
156,30,6.3,38,11,3.06,0,1,LA,0
157,45,6.3,38,11,3.06,0,1,LA,0
158,60,6.3,38,11,3.06,0,1,LA,0
159,90,6.3,38,11,3.06,0,1,LA,0
160,180,6.3,38,11,3.06,0,1,LA,0
161,5,6.3,38,11,3.06,0,1,LA,0
162,10,6.3,38,11,3.06,0,1,LA,0
163,20,6.3,38,11,3.06,0,1,LA,0
164,30,6.3,38,11,3.06,0,1,LA,0
165,45,6.3,38,11,3.06,0,1,LA,0
166,60,6.3,38,11,3.06,0,1,LA,0
167,90,6.3,38,11,3.06,0,1,LA,0
168,180,6.3,38,11,3.06,0,1,LA,0
169,5,6.3,38,11,3.06,0,1,CA/LA,0
170,10,6.3,38,11,3.06,0,1,CA/LA,0
171,20,6.3,38,11,3.06,0,1,CA/LA,0
172,30,6.3,38,11,3.06,0,1,CA/LA,0
173,45,6.3,38,11,3.06,0,1,CA/LA,0
174,60,6.3,38,11,3.06,0,1,CA/LA,0
175,90,6.3,38,11,3.06,0,1,CA/LA,0
176,180,6.3,38,11,3.06,0,1,CA/LA,0
177,5,6.3,38,11,3.06,0,1,CA/LA,0
178,10,6.3,38,11,3.06,0,1,CA/LA,0
179,20,6.3,38,11,3.06,0,1,CA/LA,0
180,30,6.3,38,11,3.06,0,1,CA/LA,0
181,45,6.3,38,11,3.06,0,1,CA/LA,0
182,60,6.3,38,11,3.06,0,1,CA/LA,0
183,90,6.3,38,11,3.06,0,1,CA/LA,0
184,180,6.3,38,11,3.06,0,1,CA/LA,0
185,5,6.3,38,11,3.06,0,1,CA/LA,0
186,10,6.3,38,11,3.06,0,1,CA/LA,0
187,20,6.3,38,11,3.06,0,1,CA/LA,0
188,30,6.3,38,11,3.06,0,1,CA/LA,0
189,45,6.3,38,11,3.06,0,1,CA/LA,0
190,60,6.3,38,11,3.06,0,1,CA/LA,0
191,90,6.3,38,11,3.06,0,1,CA/LA,0
192,180,6.3,38,11,3.06,0,1,CA/LA,0
193,5,6.3,38,11,3.06,0,1,CA,0
194,10,6.3,38,11,3.06,0,1,CA,0
195,20,6.3,38,11,3.06,0,1,CA,0
196,30,6.3,38,11,3.06,0,1,CA,0
197,45,6.3,38,11,3.06,0,1,CA,0
198,60,6.3,38,11,3.06,0,1,CA,0
199,90,6.3,38,11,3.06,0,1,CA,0
200,180,6.3,38,11,3.06,0,1,CA,0
201,5,6.3,38,11,3.06,0,1,CA,0
202,10,6.3,38,11,3.06,0,1,CA,0
203,20,6.3,38,11,3.06,0,1,CA,0
204,30,6.3,38,11,3.06,0,1,CA,0
205,45,6.3,38,11,3.06,0,1,CA,0
206,60,6.3,38,11,3.06,0,1,CA,0
207,90,6.3,38,11,3.06,0,1,CA,0
208,180,6.3,38,11,3.06,0,1,CA,0
209,5,6.3,38,11,3.06,0,1,CA,0
210,10,6.3,38,11,3.06,0,1,CA,0
211,20,6.3,38,11,3.06,0,1,CA,0
212,30,6.3,38,11,3.06,0,1,CA,0
213,45,6.3,38,11,3.06,0,1,CA,0
214,60,6.3,38,11,3.06,0,1,CA,0
215,90,6.3,38,11,3.06,0,1,CA,0
216,180,6.3,38,11,3.06,0,1,CA,0
217,10,6.5,25,11,0.01,0,1,LA,0
218,20,6.5,25,11,0.01,0,1,LA,0
219,30,6.5,25,11,0.01,0,1,LA,0
220,60,6.5,25,11,0.01,0,1,LA,0
221,120,6.5,25,11,0.01,0,1,LA,0
222,240,6.5,25,11,0.01,0,1,LA,0
223,10,6.5,25,11,0.01,0,1,LA,0
224,20,6.5,25,11,0.01,0,1,LA,0
225,30,6.5,25,11,0.01,0,1,LA,0
226,60,6.5,25,11,0.01,0,1,LA,0
227,120,6.5,25,11,0.01,0,1,LA,0
228,240,6.5,25,11,0.01,0,1,LA,0
229,10,6.5,30,11,0.01,0,1,LA,0
230,20,6.5,30,11,0.01,0,1,LA,0
231,30,6.5,30,11,0.01,0,1,LA,0
232,60,6.5,30,11,0.01,0,1,LA,0
233,120,6.5,30,11,0.01,0,1,LA,0
234,240,6.5,30,11,0.01,0,1,LA,0
235,10,6.5,30,11,0.01,0,1,LA,0
236,20,6.5,30,11,0.01,0,1,LA,0
237,30,6.5,30,11,0.01,0,1,LA,0
238,60,6.5,30,11,0.01,0,1,LA,0
239,120,6.5,30,11,0.01,0,1,LA,0
240,240,6.5,30,11,0.01,0,1,LA,0
241,10,6.5,35,11,0.01,0,1,LA,0
242,20,6.5,35,11,0.01,0,1,LA,0
243,30,6.5,35,11,0.01,0,1,LA,0
244,60,6.5,35,11,0.01,0,1,LA,0
245,120,6.5,35,11,0.01,0,1,LA,0
246,240,6.5,35,11,0.01,0,1,LA,0
247,10,6.5,35,11,0.01,0,1,LA,0
248,20,6.5,35,11,0.01,0,1,LA,0
249,30,6.5,35,11,0.01,0,1,LA,0
250,60,6.5,35,11,0.01,0,1,LA,0
251,120,6.5,35,11,0.01,0,1,LA,0
252,240,6.5,35,11,0.01,0,1,LA,0
253,10,6.5,40,11,0.01,0,1,LA,0
254,20,6.5,40,11,0.01,0,1,LA,0
255,30,6.5,40,11,0.01,0,1,LA,0
256,60,6.5,40,11,0.01,0,1,LA,0
257,120,6.5,40,11,0.01,0,1,LA,0
258,240,6.5,40,11,0.01,0,1,LA,0
259,10,6.5,40,11,0.01,0,1,LA,0
260,20,6.5,40,11,0.01,0,1,LA,0
261,30,6.5,40,11,0.01,0,1,LA,0
262,60,6.5,40,11,0.01,0,1,LA,0
263,120,6.5,40,11,0.01,0,1,LA,0
264,240,6.5,40,11,0.01,0,1,LA,0
265,10,6.5,50,11,0.01,0,1,LA,0
266,20,6.5,50,11,0.01,0,1,LA,0
267,30,6.5,50,11,0.01,0,1,LA,0
268,60,6.5,50,11,0.01,0,1,LA,0
269,120,6.5,50,11,0.01,0,1,LA,0
270,240,6.5,50,11,0.01,0,1,LA,0
271,10,6.5,50,11,0.01,0,1,LA,0
272,20,6.5,50,11,0.01,0,1,LA,0
273,30,6.5,50,11,0.01,0,1,LA,0
274,60,6.5,50,11,0.01,0,1,LA,0
275,120,6.5,50,11,0.01,0,1,LA,0
276,240,6.5,50,11,0.01,0,1,LA,0
277,10,6.5,60,11,0.01,0,1,LA,0
278,20,6.5,60,11,0.01,0,1,LA,0
279,30,6.5,60,11,0.01,0,1,LA,0
280,60,6.5,60,11,0.01,0,1,LA,0
281,120,6.5,60,11,0.01,0,1,LA,0
282,240,6.5,60,11,0.01,0,1,LA,0
283,10,6.5,60,11,0.01,0,1,LA,0
284,20,6.5,60,11,0.01,0,1,LA,0
285,30,6.5,60,11,0.01,0,1,LA,0
286,60,6.5,60,11,0.01,0,1,LA,0
287,120,6.5,60,11,0.01,0,1,LA,0
288,240,6.5,60,11,0.01,0,1,LA,0
289,10,6.5,25,22,0.01,0,1,LA,0
290,20,6.5,25,22,0.01,0,1,LA,0
291,30,6.5,25,22,0.01,0,1,LA,0
292,60,6.5,25,22,0.01,0,1,LA,0
293,120,6.5,25,22,0.01,0,1,LA,0
294,240,6.5,25,22,0.01,0,1,LA,0
295,10,6.5,25,22,0.01,0,1,LA,0
296,20,6.5,25,22,0.01,0,1,LA,0
297,30,6.5,25,22,0.01,0,1,LA,0
298,60,6.5,25,22,0.01,0,1,LA,0
299,120,6.5,25,22,0.01,0,1,LA,0
300,240,6.5,25,22,0.01,0,1,LA,0
301,10,6.5,30,22,0.01,0,1,LA,0
302,20,6.5,30,22,0.01,0,1,LA,0
